id,name,title_id,prize_size,assort,title,series_id,release_month,Arrival_date,get_date,got_status,is_favorite,image_url,image_url1,image_url2,image_url3,image_url4,memo,created_at,updated_at
,????? VIBRATION STARS-??-,11,?16cm,?1?,?????,12,2026-10,,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503248/KINGDOM_VIBRATION_STARS_KYOUKAI_gxw2lb.jpg,,,,,"VIBRATION STARS???????!
9??????Grandista-???-???????!",,
,??????????? MAXIMATIC MIRKO,10,?20cm(???23cm),?1?,??????????? ,16,2026-07,2026-07-16,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503648/MY_HERO_ACADEMIA_MAXIMATIC_MIRKO_vel11k.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503650/MY_HERO_ACADEMIA_MAXIMATIC_MIRKO2_pn9wm8.jpg,,,,MAXIMATIC????????????!???????????????????????????,,
,??????????? MAXIMATIC KATSUKI BAKUGO ?,10,?23cm,?1?,??????????? ,16,2026-07,2026-07-29,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503649/MY_HERO_ACADEMIA_MAXIMATIC_KATSUKI_BAKUGO_III_yiivb2.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503647/MY_HERO_ACADEMIA_MAXIMATIC_KATSUKI_BAKUGO_III2_uvtfeh.jpg,,,,"????????????!?""??""???????????????????????????!",,
,?-Saki- -Relax time-???,64,?13cm,?1?,?-Saki-,18,2026-10,,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783504116/SAKI_RELAX_TIME_MIYANAGA_SAKI_gzd890.jpg,,,,,???????????????????????????????????????????????????!,,
,?-Saki- -Relax time-???,64,?13cm,?1?,?-Saki-,18,2026-10,,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783504115/SAKI_RELAX_TIME_HARAMURA_NODOKA_dgcobn.jpg,,,,,??????????????????????????????????????????????????!,,
,???????Z SOLID EDGE WORKS-THE??-????,9,?19cm,?1?,???????,7,2026-07,2026-07-14,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783555468/DRAGON_BALL_Z_SOLID_EDGE_WORKS_THE_SHUTSUJIN_PICCOLO_wj2mfb.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783555467/DRAGON_BALL_Z_SOLID_EDGE_WORKS_THE_SHUTSUJIN_PICCOLO2_nbdh5o.jpg,,,,"?SOLID EDGE WORKS-THE??-?????????????????????????????!
??????????????????????????????????????????!",,
,Re:?????????????Desktop Cute ????????~Star Dreamy ver.~Renewal,17,?13cm,?1?,Re:????????????,22,2026-07,,0,,,,,,,,,,
,To LOVE?-????-??????Desktop Cute ??????????~???????ver.~,22,?13cm,?1?,To LOVE? ,22,2026-07,,0,,,,,,,,,,
,???100%?Desktop Cute ?????????~??ver.~,82,?13cm,?1?,???,22,2026-07,,0,,,,,,,,,,
,????!?Desktop Cute ??????????~??????ver.~,82,?13cm,?1?,???,22,2026-07,,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783556005/TORADORA_DESKTOP_CUTE_FIGURE_AISAKA_TAIGA_TIGER_SWIMSUIT_VER_o9oqbd.png,,,,,,,
